suburb,state,postcode,lat,lng,label
Barooga,NSW,3644,-35.91,145.69,"Barooga, NSW 3644"
Barraba,NSW,2347,-30.53,150.44,"Barraba, NSW 2347"
Barrack Heights,NSW,2528,-34.57,150.86,"Barrack Heights, NSW 2528"
Barrack Point,NSW,2528,-34.57,150.86,"Barrack Point, NSW 2528"
Barraganyatti,NSW,2441,-30.82,152.83,"Barraganyatti, NSW 2441"
Barragga Bay,NSW,2546,-36.36,150.08,"Barragga Bay, NSW 2546"
Barratta,NSW,2710,-35.23,144.49,"Barratta, NSW 2710"
Barren Grounds,NSW,2577,-34.61,150.48,"Barren Grounds, NSW 2577"
Barrengarry,NSW,2577,-34.61,150.48,"Barrengarry, NSW 2577"
Barretts Creek,NSW,2460,-29.05,152.59,"Barretts Creek, NSW 2460"
Barringella,NSW,2540,-34.89,150.53,"Barringella, NSW 2540"
Barrington,NSW,2422,-31.97,152.07,"Barrington, NSW 2422"
Barrington Tops,NSW,2422,-31.97,152.07,"Barrington Tops, NSW 2422"
Barry,NSW,2340,-30.96,150.83,"Barry, NSW 2340"
Barry,NSW,2799,-33.65,149.27,"Barry, NSW 2799"
Barwon,NSW,2396,-30.94,149.07,"Barwon, NSW 2396"
Baryulgil,NSW,2460,-29.05,152.59,"Baryulgil, NSW 2460"
Basin View,NSW,2540,-34.89,150.53,"Basin View, NSW 2540"
Bass Hill,NSW,2197,-33.9,150.99,"Bass Hill, NSW 2197"
Bassendean,NSW,2365,-30.08,151.88,"Bassendean, NSW 2365"
Batar Creek,NSW,2439,-31.66,152.68,"Batar Creek, NSW 2439"
Bateau Bay,NSW,2261,-33.38,151.48,"Bateau Bay, NSW 2261"
Batehaven,NSW,2536,-35.73,150.2,"Batehaven, NSW 2536"
Batemans Bay,NSW,2536,-35.73,150.2,"Batemans Bay, NSW 2536"
Bathampton,NSW,2795,-33.91,149.33,"Bathampton, NSW 2795"
Bathurst,NSW,2795,-33.91,149.33,"Bathurst, NSW 2795"
Batlow,NSW,2730,-31.49,152.66,"Batlow, NSW 2730"
Baulkham Hills,NSW,2153,-33.76,150.99,"Baulkham Hills, NSW 2153"
Baw Baw,NSW,2580,-34.44,149.96,"Baw Baw, NSW 2580"
Bawley Point,NSW,2539,-35.52,150.39,"Bawley Point, NSW 2539"
Baxters Ridge,NSW,2422,-31.97,152.07,"Baxters Ridge, NSW 2422"
Bay Village,NSW,2261,-33.38,151.48,"Bay Village, NSW 2261"
Bayview,NSW,2104,-33.66,151.3,"Bayview, NSW 2104"
Beacon Hill,NSW,2100,-33.77,151.25,"Beacon Hill, NSW 2100"
Beaconsfield,NSW,2015,-33.9,151.2,"Beaconsfield, NSW 2015"
Bean Creek,NSW,2469,-29.34,153.0,"Bean Creek, NSW 2469"
Bearbong,NSW,2827,-31.66,148.88,"Bearbong, NSW 2827"
Beaumont,NSW,2577,-34.61,150.48,"Beaumont, NSW 2577"
